[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 16.44

Episode:     0 | Reward:      16.44 | Avg100:      16.44
Episode 562, Reward: 6.942333583628577
Episode 563, Reward: 13.395703736299826
Episode 564, Reward: 26.794370693716058
Episode 565, Reward: 11.940636104879273
Episode 566, Reward: 1.9547718529961473
Episode 567, Reward: 6.304522204254888
Episode 568, Reward: 19.711322474997658
Episode 569, Reward: 7.019456554663094
Episode 570, Reward: 13.1661735036949
Episode 571, Reward: 21.310802640083665
Episode 572, Reward: 29.944286382829553
Episode 573, Reward: 10.39761705933588
Episode 574, Reward: 13.740717310408842
Episode 575, Reward: 14.675142836841085
Episode 576, Reward: 6.925383891147073
Episode 577, Reward: 19.495136109405898
Episode 578, Reward: 15.463562198544707
Episode 579, Reward: 20.51522207161146
Episode 580, Reward: 25.612564193237258
Episode 581, Reward: 10.841374910375603
Episode 582, Reward: 24.693282977461394
Episode 583, Reward: 14.59189893390431
Episode 584, Reward: 11.607601863651608
Episode 585, Reward: 6.991114160897701
Episode 586, Reward: 24.453400608857695
Episode 587, Reward: 9.54338718303869
Episode 588, Reward: 7.014331959746791
Episode 589, Reward: 6.350571800746222
Episode 590, Reward: 6.379932793215342
Episode 591, Reward: 14.096469113986338
Episode 592, Reward: 7.300925115946451
Episode 593, Reward: 12.3321388432879
Episode 594, Reward: 11.653199320231487
Episode 595, Reward: 13.036491604318444
Episode 596, Reward: 16.955539319818616
Episode 597, Reward: 13.398276591897794
Episode 598, Reward: 13.30635547631191
Episode 599, Reward: 6.971187105674192
Episode 600, Reward: 14.422496036168818
Episode 601, Reward: 7.067060211947015
Episode 602, Reward: 14.411135823004475
Episode 603, Reward: 7.3207022656356235
Episode 604, Reward: 6.845937613847554
Episode 605, Reward: 6.982143916288475
Episode 606, Reward: 12.230727510226338
Episode 607, Reward: 13.061222162825844
Episode 608, Reward: 7.1368880218026405
Episode 609, Reward: 13.128566910916344
Episode 610, Reward: 18.918437613755053
Episode 611, Reward: 7.244370543118597
Episode 612, Reward: 14.863762912936938
Episode 613, Reward: 29.780061880707922
Episode 614, Reward: 12.059431148956506
Episode 615, Reward: 14.11505356382121
Episode 616, Reward: 13.485824550236952
Episode 617, Reward: 12.80036534626246
Episode 618, Reward: 15.234533815102196
Episode 619, Reward: 13.038781849831688
Episode 620, Reward: 40.474118548771536
Episode 621, Reward: 7.0633308054703186
Episode 622, Reward: 9.865383105557319
Episode 623, Reward: 12.662730009578972
Episode 624, Reward: 26.065280561615296
