[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 4.61

Episode:     0 | Reward:       4.61 | Avg100:       4.61
Episode:   434 | Reward:       5.83 | Avg100:       4.83
Episode 434, Reward: 5.834555557138066

[BEST MODEL SAVED] Avg100 Reward: 4.83

Episode:   435 | Reward:       5.57 | Avg100:       4.83
Episode 435, Reward: 5.5669481436742
Episode 436, Reward: 4.030284489255669
Episode 437, Reward: 5.289639862941299
Episode 438, Reward: 3.8075757742709735
Episode 439, Reward: 4.410490683577249
Episode 440, Reward: 4.814049447340862
Episode 441, Reward: 4.372996199108106
Episode 442, Reward: 4.974388750622268
Episode 443, Reward: 4.223221696100164
Episode 444, Reward: 4.625042497137946
Episode 445, Reward: 5.090713214806589
Episode 446, Reward: 4.806985888220564
Episode 447, Reward: 5.527518367283779
Episode 448, Reward: 3.8601124798545254
Episode 449, Reward: 8.978431562345001
Episode 450, Reward: 4.928893815386156
Episode 451, Reward: 6.044006561947744
Episode 452, Reward: 5.790337469355998
Episode 453, Reward: 5.3139769051111365

[BEST MODEL SAVED] Avg100 Reward: 4.83

Episode:   454 | Reward:       4.87 | Avg100:       4.83
Episode 454, Reward: 4.869262816325099

[BEST MODEL SAVED] Avg100 Reward: 4.84

Episode:   455 | Reward:       5.74 | Avg100:       4.84
Episode 455, Reward: 5.735537512545731

[BEST MODEL SAVED] Avg100 Reward: 4.86

Episode:   456 | Reward:       5.37 | Avg100:       4.86
Episode 456, Reward: 5.367196574069479

[BEST MODEL SAVED] Avg100 Reward: 4.87

Episode:   457 | Reward:       6.10 | Avg100:       4.87
Episode 457, Reward: 6.103149786229391

[BEST MODEL SAVED] Avg100 Reward: 4.89

Episode:   458 | Reward:       6.09 | Avg100:       4.89
Episode 458, Reward: 6.092437169829436

[BEST MODEL SAVED] Avg100 Reward: 4.90

Episode:   459 | Reward:       5.00 | Avg100:       4.90
Episode 459, Reward: 4.995077923308145

[BEST MODEL SAVED] Avg100 Reward: 4.90

Episode:   460 | Reward:       4.15 | Avg100:       4.90
Episode 460, Reward: 4.146264862466131

[BEST MODEL SAVED] Avg100 Reward: 4.90

Episode:   461 | Reward:       4.94 | Avg100:       4.90
Episode 461, Reward: 4.9412611173764205

[BEST MODEL SAVED] Avg100 Reward: 4.91

Episode:   462 | Reward:       5.37 | Avg100:       4.91
Episode 462, Reward: 5.373537224990164
Episode 463, Reward: 5.47780088624784
Episode 464, Reward: 5.620619423710275
Episode 465, Reward: 4.210906140392297
Episode 466, Reward: 5.373305079590918

[BEST MODEL SAVED] Avg100 Reward: 4.92

Episode:   467 | Reward:       5.68 | Avg100:       4.92
Episode 467, Reward: 5.6791283042314475

[BEST MODEL SAVED] Avg100 Reward: 4.93

Episode:   468 | Reward:       5.93 | Avg100:       4.93
Episode 468, Reward: 5.928375996702737

[BEST MODEL SAVED] Avg100 Reward: 4.95

Episode:   469 | Reward:       6.22 | Avg100:       4.95
Episode 469, Reward: 6.216642923293644

[BEST MODEL SAVED] Avg100 Reward: 4.96

Episode:   470 | Reward:       5.84 | Avg100:       4.96
Episode 470, Reward: 5.83828657363186

[BEST MODEL SAVED] Avg100 Reward: 4.97

Episode:   471 | Reward:       5.32 | Avg100:       4.97
Episode 471, Reward: 5.324975883858706
Episode 472, Reward: 6.054178320448759
Episode 473, Reward: 6.3361745181295985
Episode 474, Reward: 5.407891089727458
Episode 475, Reward: 4.598615001838529
Episode 476, Reward: 5.202169818013907
Episode 477, Reward: 5.301307366760483
Episode 478, Reward: 4.4502156894131035
Episode 479, Reward: 5.466379026227157
Episode 480, Reward: 4.984620498372127

[BEST MODEL SAVED] Avg100 Reward: 4.98

Episode:   481 | Reward:       5.61 | Avg100:       4.98
Episode 481, Reward: 5.61311327514564
Episode 482, Reward: 5.539578504533261

[BEST MODEL SAVED] Avg100 Reward: 4.99

Episode:   483 | Reward:       5.66 | Avg100:       4.99
Episode 483, Reward: 5.661632471656727

[BEST MODEL SAVED] Avg100 Reward: 5.02

Episode:   484 | Reward:       6.40 | Avg100:       5.02
Episode 484, Reward: 6.399107060716682

[BEST MODEL SAVED] Avg100 Reward: 5.04

Episode:   485 | Reward:       5.21 | Avg100:       5.04
Episode 485, Reward: 5.209729974014879

[BEST MODEL SAVED] Avg100 Reward: 5.07

Episode:   486 | Reward:       7.25 | Avg100:       5.07
Episode 486, Reward: 7.248816392845483

[BEST MODEL SAVED] Avg100 Reward: 5.10

Episode:   487 | Reward:       6.48 | Avg100:       5.10
Episode 487, Reward: 6.475085085192136

[BEST MODEL SAVED] Avg100 Reward: 5.10

Episode:   488 | Reward:       7.24 | Avg100:       5.10
Episode 488, Reward: 7.243368353992997

[BEST MODEL SAVED] Avg100 Reward: 5.11

Episode:   489 | Reward:       6.07 | Avg100:       5.11
Episode 489, Reward: 6.067529004785207

[BEST MODEL SAVED] Avg100 Reward: 5.14

Episode:   490 | Reward:       6.58 | Avg100:       5.14
Episode 490, Reward: 6.580593349493395

[BEST MODEL SAVED] Avg100 Reward: 5.15

Episode:   491 | Reward:       5.00 | Avg100:       5.15
Episode 491, Reward: 5.0043684331064515

[BEST MODEL SAVED] Avg100 Reward: 5.16

Episode:   492 | Reward:       5.61 | Avg100:       5.16
Episode 492, Reward: 5.605399396354527
Episode 493, Reward: 3.783342877225212

[BEST MODEL SAVED] Avg100 Reward: 5.16

Episode:   494 | Reward:       5.34 | Avg100:       5.16
Episode 494, Reward: 5.34022052679013

[BEST MODEL SAVED] Avg100 Reward: 5.18

Episode:   495 | Reward:       5.57 | Avg100:       5.18
Episode 495, Reward: 5.5739620984219735

[BEST MODEL SAVED] Avg100 Reward: 5.19

Episode:   496 | Reward:       5.44 | Avg100:       5.19
Episode 496, Reward: 5.443807362464077

[BEST MODEL SAVED] Avg100 Reward: 5.20

Episode:   497 | Reward:       5.58 | Avg100:       5.20
Episode 497, Reward: 5.5811198511843765

[BEST MODEL SAVED] Avg100 Reward: 5.20

Episode:   498 | Reward:       4.71 | Avg100:       5.20
Episode 498, Reward: 4.706520404133363

[BEST MODEL SAVED] Avg100 Reward: 5.22

Episode:   499 | Reward:       6.36 | Avg100:       5.22
Episode 499, Reward: 6.364557305083643

[BEST MODEL SAVED] Avg100 Reward: 5.22

Episode:   500 | Reward:       4.75 | Avg100:       5.22
Episode 500, Reward: 4.753310627410002

[BEST MODEL SAVED] Avg100 Reward: 5.23

Episode:   501 | Reward:       5.41 | Avg100:       5.23
Episode 501, Reward: 5.413516215494798
Episode 502, Reward: 5.055057719549692
Episode 503, Reward: 4.378439917561559

[BEST MODEL SAVED] Avg100 Reward: 5.24

Episode:   504 | Reward:       5.03 | Avg100:       5.24
Episode 504, Reward: 5.0288575628437195

[BEST MODEL SAVED] Avg100 Reward: 5.26

Episode:   505 | Reward:       6.34 | Avg100:       5.26
Episode 505, Reward: 6.336185835620648

[BEST MODEL SAVED] Avg100 Reward: 5.26

Episode:   506 | Reward:       5.16 | Avg100:       5.26
Episode 506, Reward: 5.158523617075188
Episode 507, Reward: 4.291732101924547
Episode 508, Reward: 5.161538166190785
Episode 509, Reward: 4.93987466597649
Episode 510, Reward: 4.806710240105776
Episode 511, Reward: 4.236118558879412

[BEST MODEL SAVED] Avg100 Reward: 5.28

Episode:   512 | Reward:       6.28 | Avg100:       5.28
Episode 512, Reward: 6.28003371775576

[BEST MODEL SAVED] Avg100 Reward: 5.28

